draft_year,team,eval_completeness,num_picks,total_career_av,total_weighted_av,total_av_over_expected,avg_pro_bowls_per_pick,pct_second_contract,team_wins_5yr,total_av_over_expected_z,avg_pro_bowls_per_pick_z,pct_second_contract_z,team_wins_5yr_z,actual_grade_z,actual_grade_letter
2011,ARI,full,8,0,152,0.0,1.125,0.0,47,0.0,1.3079992708027968,0.0,0.9338082667676849,0.4016710941757121,A-
2011,ATL,full,6,0,159,0.0,1.1666666666666667,0.0,41,0.0,1.3897362751999585,0.0,0.6005532719360948,0.3680302458304059,A-
2011,BAL,full,8,0,169,0.0,0.125,0.0,45,0.0,-0.6536888347290839,0.0,0.8227232684904882,-0.007329276672243576,B
2011,BUF,full,9,0,146,0.0,0.2222222222222222,0.0,35,0.0,-0.4629691578023733,0.0,0.2672982771045046,-0.05249908999479898,B
2011,CAR,full,7,0,139,0.0,0.125,0.0,47,0.0,-0.6536888347290839,0.0,0.9338082667676849,0.009333473069335935,B+
2011,CHI,full,5,0,71,0.0,0.0,0.0,37,0.0,-0.898899847920569,0.0,0.3783832753817013,-0.12302247827685861,B
2011,CIN,full,8,0,215,0.0,1.25,0.0,52,0.0,1.5532102839942818,0.0,1.2115207624606767,0.4923701711679579,A-
2011,CLE,full,8,0,139,0.0,0.125,0.0,23,0.0,-0.6536888347290839,0.0,-0.3992117125586757,-0.19061952382961814,B
2011,DAL,full,8,0,192,0.0,1.5,0.0,40,0.0,2.043632310377252,0.0,0.5450107727974964,0.4904780779950749,A-
2011,DEN,full,9,0,214,0.0,1.1111111111111112,0.0,58,0.0,1.2807536026704096,0.0,1.544775757292267,0.48786708412792196,A-
2011,DET,full,5,0,38,0.0,0.0,0.0,39,0.0,-0.898899847920569,0.0,0.48946827365889806,-0.10635972853527909,B
2011,GNB,full,10,0,162,0.0,0.1,0.0,0,0.0,-0.702731037367381,0.0,-1.676689192746438,-0.39204958638544185,B-
2011,HOU,full,8,0,194,0.0,0.625,0.0,42,0.0,0.3271552180368564,0.0,0.6560957710746931,0.16384540926857522,B+
2011,IND,full,5,0,73,0.0,0.0,0.0,43,0.0,-0.898899847920569,0.0,0.7116382702132915,-0.07303422905212008,B
2011,JAX,full,5,0,54,0.0,0.0,0.0,19,0.0,-0.898899847920569,0.0,-0.6213817091130691,-0.27298722595107416,B-
2011,KAN,full,9,0,182,0.0,0.7777777777777778,0.0,0,0.0,0.6268575674931159,0.0,-1.676689192746438,-0.12613186541334248,B
2011,MIA,full,6,0,112,0.0,0.6666666666666666,0.0,35,0.0,0.408892222434018,0.0,0.2672982771045046,0.1218731860524793,B+
2011,MIN,full,9,0,101,0.0,0.07692307692307693,0.0,36,0.0,-0.7480007628796551,0.0,0.322840776243103,-0.1011740361394656,B
2011,NOR,full,6,0,181,0.0,1.8333333333333333,0.0,0,0.0,2.697528345554545,0.0,-1.676689192746438,0.28800229019894336,A-
2011,NWE,full,9,0,167,0.0,0.0,0.0,0,0.0,-0.898899847920569,0.0,-1.676689192746438,-0.43128334849607947,B-
2011,NYG,full,8,0,62,0.0,0.0,0.0,37,0.0,-0.898899847920569,0.0,0.3783832753817013,-0.12302247827685861,B
2011,NYJ,full,6,0,118,0.0,0.16666666666666666,0.0,36,0.0,-0.5719518303319223,0.0,0.322840776243103,-0.06596424962991904,B
2011,OAK,full,8,0,100,0.0,0.0,0.0,26,0.0,-0.898899847920569,0.0,-0.23258421514288063,-0.2146676018555459,B
2011,PHI,full,11,0,174,0.0,0.6363636363636364,0.0,39,0.0,0.3494471283269914,0.0,0.48946827365889806,0.143309666714233,B+
2011,PIT,full,7,0,170,0.0,1.0,0.0,49,0.0,1.0627882576113117,0.0,1.0448932650448817,0.3692916412789946,A-
2011,SDG,full,8,0,124,0.0,0.0,0.0,0,0.0,-0.898899847920569,0.0,-1.676689192746438,-0.43128334849607947,B-
2011,SEA,full,9,0,275,0.0,0.6666666666666666,0.0,53,0.0,0.408892222434018,0.0,1.267063261599275,0.27183793372669485,A-
2011,SFO,full,10,0,171,0.0,0.1,0.0,0,0.0,-0.702731037367381,0.0,-1.676689192746438,-0.39204958638544185,B-
2011,STL,full,8,0,98,0.0,0.375,0.0,29,0.0,-0.16326680834611376,0.0,-0.06595671772708556,-0.04254686932828559,B
2011,TAM,full,8,0,83,0.0,0.0,0.0,0,0.0,-0.898899847920569,0.0,-1.676689192746438,-0.43128334849607947,B-
2011,TEN,full,9,0,148,0.0,0.5555555555555556,0.0,27,0.0,0.19092687737492028,0.0,-0.17704171600428226,0.011629118074341721,B+
2011,WAS,full,12,0,148,0.0,0.3333333333333333,0.0,31,0.0,-0.24500381274327548,0.0,0.045128280550111165,-0.04223152046613842,B
2012,ARI,full,7,0,122,0.0,0.42857142857142855,0.0,46,0.0,0.09853444888008625,0.0,0.8480629321855281,0.14691632960384646,B+
2012,ATL,full,6,0,34,0.0,0.0,0.0,42,0.0,-0.9417070435382031,0.0,0.6300869174872398,-0.09382837108455466,B
2012,BAL,full,8,0,104,0.0,0.25,0.0,41,0.0,-0.33489950629420095,0.0,0.5755929138126676,0.01935903581305995,B+
2012,BUF,full,9,0,175,0.0,0.5555555555555556,0.0,36,0.0,0.4067541503373573,0.0,0.30312289543980725,0.12681926438344254,B+
2012,CAR,full,7,0,171,0.0,1.1428571428571428,0.0,47,0.0,1.8322702695772353,0.0,0.9025569358601002,0.5018375942944621,A-
2012,CHI,full,6,0,68,0.0,0.16666666666666666,0.0,32,0.0,-0.537168685375535,0.0,0.08514688074151888,-0.09466170496387917,B
2012,CIN,full,10,0,240,0.0,0.1,0.0,49,0.0,-0.6989840286406022,0.0,1.0115449432092443,0.01193493575326618,B+
2012,CLE,full,11,0,174,0.0,0.0,0.0,20,0.0,-0.9417070435382031,0.0,-0.5687811633533462,-0.27365858321064257,B-
2012,DAL,full,7,0,75,0.0,0.0,0.0,45,0.0,-0.9417070435382031,0.0,0.7935689285109561,-0.06930606943099722,B
2012,DEN,full,7,0,176,0.0,0.14285714285714285,0.0,59,0.0,-0.5949598793987733,0.0,1.5564849799549652,0.11448077111349012,B+
2012,DET,full,8,0,116,0.0,0.0,0.0,38,0.0,-0.9417070435382031,0.0,0.4121109027889514,-0.12652477328929793,B
2012,GNB,full,8,0,119,0.0,0.375,0.0,0,0.0,-0.03149573767219987,0.0,-1.658661236844788,-0.25509833306115814,B-
2012,HOU,full,8,0,214,0.0,0.5,0.0,41,0.0,0.2719080309498012,0.0,0.5755929138126676,0.1407205432618604,B+
2012,IND,full,10,0,196,0.0,0.8,0.0,49,0.0,1.0000770756426038,0.0,1.0115449432092443,0.3517471566099074,A-
2012,JAX,full,6,0,92,0.0,0.3333333333333333,0.0,17,0.0,-0.13263032721286694,0.0,-0.7322631743770625,-0.13636554159913275,B
2012,KAN,full,8,0,103,0.0,0.25,0.0,0,0.0,-0.33489950629420095,0.0,-1.658661236844788,-0.3157790867855584,B-
2012,MIA,full,9,0,220,0.0,0.3333333333333333,0.0,39,0.0,-0.13263032721286694,0.0,0.4666049064635235,0.043464670526955136,B+
2012,MIN,full,9,0,179,0.0,0.3076923076923077,0.0,41,0.0,-0.19486699769943117,0.0,0.5755929138126676,0.047365537532013904,B+
2012,NOR,full,5,0,75,0.0,0.2,0.0,0,0.0,-0.4562610137430013,0.0,-1.658661236844788,-0.34005138827531844,B-
2012,NWE,full,7,0,181,0.0,0.8571428571428571,0.0,0,0.0,1.1387759412983756,0.0,-1.658661236844788,-0.021043997267043063,B
2012,NYG,full,7,0,45,0.0,0.0,0.0,39,0.0,-0.9417070435382031,0.0,0.4666049064635235,-0.1183506727381121,B
2012,NYJ,full,8,0,137,0.0,0.25,0.0,33,0.0,-0.33489950629420095,0.0,0.13964088441609096,-0.04603376859642655,B
2012,OAK,full,6,0,55,0.0,0.0,0.0,30,0.0,-0.9417070435382031,0.0,-0.023841126607625288,-0.19191757769878443,B
2012,PHI,full,9,0,234,0.0,0.7777777777777778,0.0,38,0.0,0.9461386278875814,0.0,0.4121109027889514,0.25104436099585903,A-
2012,PIT,full,9,0,158,0.0,0.6666666666666666,0.0,48,0.0,0.6764463891124692,0.0,0.9570509395346722,0.2788469187526947,A-
2012,SDG,full,7,0,109,0.0,0.42857142857142855,0.0,0,0.0,0.09853444888008625,0.0,-1.658661236844788,-0.22909229575070092,B
2012,SEA,full,10,0,416,0.0,2.0,0.0,56,0.0,3.9127532544138144,0.0,1.3930029689312489,0.9915010962224502,A
2012,SFO,full,7,0,37,0.0,0.0,0.0,0,0.0,-0.9417070435382031,0.0,-1.658661236844788,-0.4371405942343588,B-
2012,STL,full,10,0,201,0.0,0.2,0.0,27,0.0,-0.4562610137430013,0.0,-0.18732313763134154,-0.11935067339330149,B
2012,TAM,full,7,0,208,0.0,0.42857142857142855,0.0,0,0.0,0.09853444888008625,0.0,-1.658661236844788,-0.22909229575070092,B
2012,TEN,full,7,0,96,0.0,0.14285714285714285,0.0,27,0.0,-0.5949598793987733,0.0,-0.18732313763134154,-0.14709044652445588,B
2012,WAS,full,9,0,226,0.0,0.7777777777777778,0.0,34,0.0,0.9461386278875814,0.0,0.19413488809066307,0.21834795879111576,B+
2013,ARI,full,8,0,175,0.0,0.12,0.0,49,0.0,-0.5468420976508067,0.0,1.0405102922262126,0.046708124303770526,B+
2013,ATL,full,8,0,92,0.0,0.125,0.0,39,0.0,-0.5344052773635409,0.0,0.4928732963176797,-0.03295006102505625,B
2013,BAL,full,10,0,206,0.0,1.2,0.0,40,0.0,2.139511084398612,0.0,0.547636995908533,0.5100477662660023,A-
2013,BUF,full,8,0,159,0.0,0.0,0.0,39,0.0,-0.8453257845451866,0.0,0.4928732963176797,-0.0951341624613854,B
2013,CAR,full,5,0,130,0.0,0.4,0.0,51,0.0,0.14961983843607962,0.0,1.1500376914079193,0.20242962139840381,B+
2013,CHI,full,6,0,127,0.0,0.5,0.0,27,0.0,0.3983562441813961,0.0,-0.1642910987725599,0.055027584020395245,B+
2013,CIN,full,10,0,132,0.0,0.1,0.0,46,0.0,-0.5965893787998701,0.0,0.8762191934536528,0.012115003258073909,B+
2013,CLE,full,5,0,33,0.0,0.0,0.0,15,0.0,-0.8453257845451866,0.0,-0.8214554938627995,-0.29228348098845724,B-
2013,DAL,full,7,0,127,0.0,0.7142857142857143,0.0,46,0.0,0.9313628279213602,0.0,0.8762191934536528,0.31770544460232,A-
2013,DEN,full,7,0,48,0.0,0.0,0.0,51,0.0,-0.8453257845451866,0.0,1.1500376914079193,0.0034404968021505555,B+
2013,DET,full,9,0,218,0.0,1.1111111111111112,0.0,43,0.0,1.9184120570694418,0.0,0.7119280946810929,0.4904716256160523,A-
2013,GNB,full,11,0,247,0.0,0.45454545454545453,0.0,0,0.0,0.28529424156988853,0.0,-1.642910987725599,-0.18937779984486214,B
2013,HOU,full,9,0,160,0.0,0.5555555555555556,0.0,33,0.0,0.5365431362621276,0.0,0.1642910987725599,0.1319522920683095,B+
2013,IND,full,7,0,38,0.0,0.0,0.0,42,0.0,-0.8453257845451866,0.0,0.6571643950902396,-0.0704904976455014,B
2013,JAX,full,8,0,88,0.0,0.0,0.0,25,0.0,-0.8453257845451866,0.0,-0.2738184979542665,-0.2101379316021773,B
2013,KAN,full,7,0,182,0.0,0.5416666666666666,0.0,0,0.0,0.5019964132419446,0.0,-1.642910987725599,-0.14603736551045093,B
2013,MIA,full,9,0,84,0.0,0.0,0.0,38,0.0,-0.8453257845451866,0.0,0.4381095967268264,-0.10334871740001338,B
2013,MIN,full,9,0,134,0.0,0.7777777777777778,0.0,44,0.0,1.089290704585053,0.0,0.7666917942719462,0.3328619100578025,A-
2013,NOR,full,5,0,168,0.0,1.0,0.0,0,0.0,1.6420382729079788,0.0,-1.642910987725599,0.08197100642275593,B+
2013,NWE,full,7,0,138,0.0,0.14285714285714285,0.0,0,0.0,-0.4899880620518772,0.0,-1.642910987725599,-0.3444342605692153,B-
2013,NYG,full,7,0,102,0.0,0.0,0.0,33,0.0,-0.8453257845451866,0.0,0.1642910987725599,-0.14442149209315336,B
2013,NYJ,full,7,0,177,0.0,0.42857142857142855,0.0,32,0.0,0.22068738293474136,0.0,0.1095273991817066,0.060566586464204264,B+
2013,OAK,full,10,0,127,0.0,0.1,0.0,32,0.0,-0.5965893787998701,0.0,0.1095273991817066,-0.10288876588271803,B
2013,PHI,full,8,0,241,0.0,1.25,0.0,47,0.0,2.26387928727127,0.0,0.9309828930445061,0.59242329141093,A-
2013,PIT,full,8,0,158,0.0,0.12,0.0,53,0.0,-0.5468420976508067,0.0,1.2595650905896258,0.07956634405828253,B+
2013,SDG,full,6,0,152,0.0,1.0,0.0,0,0.0,1.6420382729079788,0.0,-1.642910987725599,0.08197100642275593,B+
2013,SEA,full,11,0,55,0.0,0.0,0.0,54,0.0,-0.8453257845451866,0.0,1.3143287901804792,0.028084161618034537,B+
2013,SFO,full,11,0,95,0.0,0.09090909090909091,0.0,0,0.0,-0.6192017793221716,0.0,-1.642910987725599,-0.3702770040232741,B-
2013,STL,full,7,0,121,0.0,0.0,0.0,20,0.0,-0.8453257845451866,0.0,-0.547636995908533,-0.2512107062953173,B-
2013,TAM,full,6,0,102,0.0,0.0,0.0,0,0.0,-0.8453257845451866,0.0,-1.642910987725599,-0.41550180506787715,B-
2013,TEN,full,8,0,66,0.0,0.0,0.0,30,0.0,-0.8453257845451866,0.0,0.0,-0.16906515690903734,B
2013,WAS,full,7,0,75,0.0,0.14285714285714285,0.0,31,0.0,-0.4899880620518772,0.0,0.0547636995908533,-0.08978305747174746,B
2014,ARI,full,7,0,102,0.0,0.0,0.0,42,0.0,-0.8625235667858834,0.0,0.6891356297215306,-0.06913436889894709,B
2014,ATL,full,9,0,160,0.0,0.3333333333333333,0.0,42,0.0,-0.13371997914360537,0.0,0.6891356297215306,0.07662634862950853,B+
2014,BAL,full,9,0,156,0.0,0.5555555555555556,0.0,42,0.0,0.3521490792845801,0.0,0.6891356297215306,0.1738001603151456,B+
2014,BUF,full,7,0,121,0.0,0.0,0.0,39,0.0,-0.8625235667858834,0.0,0.5212244102969953,-0.09432105181262739,B
2014,CAR,full,6,0,123,0.0,0.8333333333333334,0.0,46,0.0,0.9594854023198118,0.0,0.9130172556209112,0.32884966880709904,A-
2014,CHI,full,8,0,135,0.0,0.375,0.0,31,0.0,-0.04261953068832056,0.0,0.07346115849823423,0.0024952676370710216,B+
2014,CIN,full,7,0,83,0.0,0.0,0.0,41,0.0,-0.8625235667858834,0.0,0.6331652232466856,-0.07752992987017385,B
2014,CLE,full,6,0,152,0.0,1.1666666666666667,0.0,18,0.0,1.6882889899620899,0.0,-0.6541541256747525,0.23953467914120513,B+
2014,DAL,full,9,0,243,0.0,1.5555555555555556,0.0,48,0.0,2.538559842211414,0.0,1.0249580685706015,0.661455678727873,A-
2014,DEN,full,6,0,114,0.0,0.0,0.0,44,0.0,-0.8625235667858834,0.0,0.8010764426712209,-0.05234324695649355,B
2014,DET,full,8,0,151,0.0,0.25,0.0,42,0.0,-0.31592087605417485,0.0,0.6891356297215306,0.040186169247394626,B+
2014,GNB,full,9,0,212,0.0,0.8888888888888888,0.0,0,0.0,1.0809526669268579,0.0,-1.6616214422219648,-0.03305268294792313,B
2014,HOU,full,10,0,132,0.0,0.3,0.0,42,0.0,-0.20660033790783314,0.0,0.6891356297215306,0.062050276876662966,B+
2014,IND,full,5,0,47,0.0,0.0,0.0,41,0.0,-0.8625235667858834,0.0,0.6331652232466856,-0.07752992987017385,B
2014,JAX,full,9,0,215,0.0,0.2222222222222222,0.0,26,0.0,-0.37665450835769804,0.0,-0.20639087387599142,-0.10628953275293831,B
2014,KAN,full,6,0,108,0.0,0.16666666666666666,0.0,0,0.0,-0.49812177296474436,0.0,-1.6616214422219648,-0.3488675709262436,B-
2014,MIA,full,8,0,132,0.0,0.625,0.0,37,0.0,0.503983160043388,0.0,0.409283597347305,0.16218917161077334,B+
2014,MIN,full,10,0,179,0.0,0.5,0.0,47,0.0,0.2306818146775337,0.0,0.9689876620957564,0.1914845122498702,B+
2014,NOR,full,6,0,74,0.0,0.0,0.0,0,0.0,-0.8625235667858834,0.0,-1.6616214422219648,-0.42174792969047137,B-
2014,NWE,full,8,0,145,0.0,0.0,0.0,0,0.0,-0.8625235667858834,0.0,-1.6616214422219648,-0.42174792969047137,B-
2014,NYG,full,7,0,140,0.0,0.42857142857142855,0.0,31,0.0,0.07450961732561692,0.0,0.07346115849823423,0.02592109723985852,B+
2014,NYJ,full,11,0,56,0.0,0.0,0.0,28,0.0,-0.8625235667858834,0.0,-0.09445006092630116,-0.18667222249612186,B
2014,OAK,full,8,0,337,0.0,1.625,0.0,32,0.0,2.6903939229702223,0.0,0.12943156497307937,0.5574935193400063,A-
2014,PHI,full,7,0,56,0.0,0.0,0.0,46,0.0,-0.8625235667858834,0.0,0.9130172556209112,-0.03555212501404001,B
2014,PIT,full,9,0,101,0.0,0.2222222222222222,0.0,54,0.0,-0.37665450835769804,0.0,1.3607805074196722,0.12878617444141122,B+
2014,SDG,full,6,0,40,0.0,0.16666666666666666,0.0,0,0.0,-0.49812177296474436,0.0,-1.6616214422219648,-0.3488675709262436,B-
2014,SEA,full,9,0,86,0.0,0.0,0.0,51,0.0,-0.8625235667858834,0.0,1.1928692879951368,0.006425679842093829,B+
2014,SFO,full,12,0,126,0.0,0.0,0.0,0,0.0,-0.8625235667858834,0.0,-1.6616214422219648,-0.42174792969047137,B-
2014,STL,full,11,0,210,0.0,0.9090909090909091,0.0,13,0.0,1.1251225813294203,0.0,-0.9340061580489781,0.08492359255853735,B+
2014,TAM,full,6,0,118,0.0,1.0,0.0,0,0.0,1.3238871961409509,0.0,-1.6616214422219648,0.015534222894895477,B+
2014,TEN,full,6,0,157,0.0,0.5,0.0,32,0.0,0.2306818146775337,0.0,0.12943156497307937,0.06555109768146865,B+
2014,WAS,full,8,0,164,0.0,0.0,0.0,35,0.0,-0.8625235667858834,0.0,0.29734278439761475,-0.12790329569753447,B
2015,ARI,full,7,0,150,0.0,0.2857142857142857,0.0,36,0.0,0.1628896224142589,0.0,0.403902442295888,0.09316329082723498,B+
2015,ATL,full,7,0,138,0.0,0.42857142857142855,0.0,43,0.0,0.7086025434321915,0.0,0.8024669668521828,0.2620905537142657,A-
2015,BAL,full,9,0,149,0.0,0.4444444444444444,0.0,46,0.0,0.769237312434184,0.0,0.9732803345191663,0.29983951266471176,A-
2015,BUF,full,6,0,76,0.0,0.0,0.0,40,0.0,-0.9285362196216064,0.0,0.6316535991851994,-0.09095920404654138,B
2015,CAR,full,5,0,125,0.0,0.0,0.0,44,0.0,-0.9285362196216064,0.0,0.8594047560745106,-0.056796530513144705,B
2015,CHI,full,6,0,92,0.0,0.0,0.0,34,0.0,-0.9285362196216064,0.0,0.2900268638512324,-0.1422032143466364,B
2015,CIN,full,9,0,60,0.0,0.0,0.0,33,0.0,-0.9285362196216064,0.0,0.23308907462890455,-0.1507438827299856,B
2015,CLE,full,12,0,117,0.0,0.0,0.0,17,0.0,-0.9285362196216064,0.0,-0.6779155529283407,-0.2873945768635724,B-
2015,DAL,full,8,0,106,0.0,0.125,0.0,44,0.0,-0.45103741373091527,0.0,0.8594047560745106,0.03870323066499351,B+
2015,DEN,full,8,0,76,0.0,0.0,0.0,39,0.0,-0.9285362196216064,0.0,0.5747158099628715,-0.09949987242989056,B
2015,DET,full,7,0,129,0.0,0.5714285714285714,0.0,34,0.0,1.2543154644501242,0.0,0.2900268638512324,0.2943671224677097,A-
2015,GNB,full,8,0,71,0.0,0.0,0.0,0,0.0,-0.9285362196216064,0.0,-1.6458579697079136,-0.4325859393805083,B-
2015,HOU,full,7,0,79,0.0,0.14285714285714285,0.0,43,0.0,-0.3828232986036737,0.0,0.8024669668521828,0.04380538530709267,B+
2015,IND,full,8,0,84,0.0,0.0,0.0,37,0.0,-0.9285362196216064,0.0,0.46084023151821585,-0.1165812091965889,B
2015,JAX,full,8,0,97,0.0,0.0,0.0,29,0.0,-0.9285362196216064,0.0,0.005337917739593234,-0.1849065562633823,B
2015,KAN,full,9,0,236,0.0,0.5555555555555556,0.0,0,0.0,1.1936806954481318,0.0,-1.6458579697079136,-0.008142556366560666,B
2015,MIA,full,7,0,128,0.0,0.14285714285714285,0.0,34,0.0,-0.3828232986036737,0.0,0.2900268638512324,-0.033060630143049885,B
2015,MIN,full,10,0,281,0.0,1.0,0.0,50,0.0,2.8914542275039223,0.0,1.2010314914084776,0.7584455692120561,A
2015,NOR,full,9,0,121,0.0,0.3333333333333333,0.0,0,0.0,0.34479392942023646,0.0,-1.6458579697079136,-0.17791990957213977,B
2015,NWE,full,11,0,174,0.0,0.0,0.0,0,0.0,-0.9285362196216064,0.0,-1.6458579697079136,-0.4325859393805083,B-
2015,NYG,full,6,0,108,0.0,0.5,0.0,29,0.0,0.981459003941158,0.0,0.005337917739593234,0.1970924884491706,B+
2015,NYJ,full,6,0,90,0.0,0.5,0.0,31,0.0,0.981459003941158,0.0,0.11921349618424888,0.21417382521586895,B+
2015,OAK,full,10,0,130,0.0,0.5,0.0,36,0.0,0.981459003941158,0.0,0.403902442295888,0.2568771671326148,A-
2015,PHI,full,6,0,116,0.0,0.0,0.0,45,0.0,-0.9285362196216064,0.0,0.9163425452968385,-0.04825586212979552,B
2015,PIT,full,8,0,76,0.0,0.0,0.0,51,0.0,-0.9285362196216064,0.0,1.2579692806308054,0.0029881481702995205,B+
2015,SDG,full,5,0,130,0.0,0.6,0.0,0,0.0,1.363458048653711,0.0,-1.6458579697079136,0.02581291427455515,B+
2015,SEA,full,8,0,162,0.0,0.5,0.0,50,0.0,0.981459003941158,0.0,1.2010314914084776,0.3764465244995032,A-
2015,SFO,full,10,0,159,0.0,0.1,0.0,0,0.0,-0.5465371749090534,0.0,-1.6458579697079136,-0.35618613043799774,B-
2015,STL,full,8,0,152,0.0,0.12,0.0,7,0.0,-0.47013736596654293,0.0,-1.2472934451516189,-0.2811214899660514,B-
2015,TAM,full,7,0,209,0.0,0.42857142857142855,0.0,0,0.0,0.7086025434321915,0.0,-1.6458579697079136,-0.10515818676974872,B
2015,TEN,full,9,0,100,0.0,0.0,0.0,39,0.0,-0.9285362196216064,0.0,0.5747158099628715,-0.09949987242989056,B
2015,WAS,full,10,0,192,0.0,0.5,0.0,34,0.0,0.981459003941158,0.0,0.2900268638512324,0.23979583036591645,B+
2016,ARI,full,6,0,32,0.0,0.0,0.0,31,0.0,-0.8993950348357256,0.0,0.17662768903692083,-0.153384853611607,B
2016,ATL,full,6,0,179,0.0,0.6666666666666666,0.0,39,0.0,0.6290309164333154,0.0,0.6243176731305023,0.21945383425623843,B+
2016,BAL,full,11,0,194,0.0,0.5454545454545454,0.0,52,0.0,0.3511352889298534,0.0,1.3518138972825722,0.27299914237835654,A-
2016,BUF,full,7,0,66,0.0,0.0,0.0,45,0.0,-0.8993950348357256,0.0,0.9600851612006884,-0.035866232787041874,B
2016,CAR,full,5,0,82,0.0,0.2,0.0,34,0.0,-0.4408672494550132,0.0,0.3445114330720139,-0.036496734930200565,B
2016,CHI,full,9,0,202,0.0,0.2222222222222222,0.0,36,0.0,-0.3899197177460452,0.0,0.45643392909540925,-0.009518854184897674,B
2016,CIN,full,7,0,140,0.0,0.0,0.0,25,0.0,-0.8993950348357256,0.0,-0.1591397990332653,-0.20374997682213492,B
2016,CLE,full,14,0,156,0.0,0.07142857142857142,0.0,25,0.0,-0.7356351114854712,0.0,-0.1591397990332653,-0.17099799215208406,B
2016,DAL,full,9,0,287,0.0,0.8888888888888888,0.0,46,0.0,1.1385062335229958,0.0,1.0160464092123862,0.38010820808645707,A-
2016,DEN,full,8,0,169,0.0,0.25,0.0,32,0.0,-0.3262353031098352,0.0,0.23258893704861852,-0.030358720064674265,B
2016,DET,full,10,0,191,0.0,0.3,0.0,32,0.0,-0.2116033567646571,0.0,0.23258893704861852,-0.007432330795638646,B
2016,GNB,full,7,0,168,0.0,0.42857142857142855,0.0,0,0.0,0.08316450526580078,0.0,-1.5581709993257076,-0.217092748845696,B
