draft_year,team,analyst,grade_letter,grade_numeric,source_url
2017,CHI,Kiper,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2017,CHI,Silva,F,0.0,https://www.footballoutsiders.com/nfl-draft/2017/2017-nfl-draft-report-card-report
2020,DAL,Kadar,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,MIN,Iyer,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ARI,PFF,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ARI,Farrar,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ARI,Kiper,B,8.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ARI,Maske,B,8.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BAL,Iyer,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BAL,Rill,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BAL,Silva,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BAL,Tagliere,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CIN,Farrar,B,8.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,DEN,PFF,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,DEN,Kiper,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CLE,PFF,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CLE,Prisco,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,TB,Prisco,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NYJ,Farrar,A+,12.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NYJ,Edholm,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,JAX,Davis,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,MIA,Davis,C,5.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CAR,Prisco,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CAR,Iyer,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CAR,Edholm,C+,6.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,IND,Davis,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,IND,Easterling,C,5.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,BUF,Tagliere,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,DET,Winks,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,SF,Maske,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,SF,Easterling,B-,7.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NYG,Iyer,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NYG,PFF,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,WAS,Silva,D-,1.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,TEN,Iyer,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,TEN,Davis,D+,3.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NO,Reuter,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NO,Winks,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NO,Silva,C-,4.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,KC,Farrar,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,KC,Silva,C,5.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,KC,Tagliere,C,5.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,PIT,Davis,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,PIT,Reuter,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,PIT,Tagliere,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,LAC,Edholm,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,LAC,Easterling,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,LAC,Winks,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,LAR,Reuter,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,LAR,Benoit,A,11.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,LAR,Winks,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NE,Iyer,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,NE,Tagliere,D-,1.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CHI,PFF,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CHI,Reuter,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,CHI,Tagliere,D+,3.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,PHI,PFF,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,PHI,Reuter,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,PHI,Davis,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,PHI,Farrar,D,2.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ATL,Reuter,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ATL,Benoit,B+,9.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,ATL,Silva,D-,1.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
2020,LV,Farrar,A-,10.0,https://www.footballoutsiders.com/nfl-draft/2020/2020-nfl-draft-report-card-report
